"","Name","adj.P.Val","P.Value","logFC"
"995","TYSND1",1.11e-05,2.67e-07,-0.573
"996","AGMAT",1.12e-05,2.68e-07,-0.671
"997","",1.12e-05,2.68e-07,-0.64
"998","VPS13D",1.12e-05,2.69e-07,-0.537
"999","ATP8B2",1.13e-05,2.73e-07,-0.613
"1000","",1.14e-05,2.74e-07,-0.852
"1001","",1.18e-05,2.85e-07,-0.813
"1002","BCYRN1",1.19e-05,2.87e-07,-0.806
"1003","DDR1",1.19e-05,2.89e-07,-0.526
"1004","TNFSF13B",1.2e-05,2.9e-07,0.911
"1005","MIGA1",1.2e-05,2.9e-07,-1.03
"1006","BATF2",1.2e-05,2.91e-07,1.34
"1007","",1.22e-05,2.96e-07,-0.824
"1008","ZNF623",1.23e-05,2.99e-07,-0.609
"1009","",1.23e-05,3.01e-07,-0.88
"1010","EVI5",1.24e-05,3.03e-07,-0.763
"1011","RASSF1",1.24e-05,3.03e-07,-0.739
"1012","GBA",1.24e-05,3.05e-07,0.544
"1013","IFI44L",1.24e-05,3.05e-07,1.78
"1014","GTSE1",1.24e-05,3.05e-07,0.689
"1015","CASP1",1.24e-05,3.06e-07,0.574
"1016","FHL2",1.24e-05,3.06e-07,0.658
"1017","GJC1",1.25e-05,3.08e-07,-0.622
"1018","ZNF347",1.25e-05,3.09e-07,-0.509
"1019","",1.25e-05,3.09e-07,-0.841
"1020","IL18",1.26e-05,3.12e-07,-0.632
"1021","OCIAD1",1.27e-05,3.15e-07,-0.827
"1022","CNST",1.28e-05,3.17e-07,-0.503
"1023","HTRA4",1.28e-05,3.17e-07,-0.75
"1024","",1.28e-05,3.18e-07,-0.86
"1025","LOC101926963",1.29e-05,3.21e-07,0.55
"1026","TMCC2",1.29e-05,3.21e-07,1.48
"1027","ALPP",1.29e-05,3.21e-07,-0.896
"1028","CARD17",1.3e-05,3.24e-07,1.3
"1029","NDC80",1.3e-05,3.25e-07,0.662
"1030","DMC1",1.31e-05,3.27e-07,-0.851
"1031","CD44",1.31e-05,3.28e-07,-0.916
"1032","CREBRF",1.34e-05,3.35e-07,-0.541
"1033","",1.34e-05,3.37e-07,-1.24
"1034","",1.35e-05,3.38e-07,-0.758
"1035","",1.36e-05,3.41e-07,-0.796
"1036","TCF7",1.37e-05,3.44e-07,-0.749
"1037","PNKD",1.38e-05,3.47e-07,0.812
"1038","UCK2",1.38e-05,3.47e-07,0.57
"1039","IRF7",1.38e-05,3.47e-07,1.03
"1040","POC1A",1.38e-05,3.47e-07,0.659
"1041","",1.39e-05,3.51e-07,-1.18
"1042","ANKRD9",1.4e-05,3.53e-07,1.01
"1043","",1.4e-05,3.53e-07,-0.804
"1044","DNAJB14",1.41e-05,3.56e-07,-0.708
"1045","",1.41e-05,3.57e-07,-1.34
"1046","",1.47e-05,3.71e-07,-0.579
"1047","TSPAN32",1.47e-05,3.72e-07,-0.759
"1048","APOBEC3H",1.48e-05,3.76e-07,1.07
"1049","TAGAP",1.48e-05,3.76e-07,-0.827
"1050","PHLPP2",1.49e-05,3.77e-07,-0.586
"1051","CD83",1.51e-05,3.83e-07,-0.571
"1052","OAS2",1.52e-05,3.86e-07,0.832
"1053","ADARB1",1.52e-05,3.88e-07,-0.595
"1054","CENPE",1.55e-05,3.96e-07,0.754
"1055","ZNF135",1.56e-05,3.99e-07,-0.665
"1056","ZSWIM8",1.58e-05,4.04e-07,-0.747
"1057","",1.58e-05,4.05e-07,-0.929
"1058","ZNF600",1.6e-05,4.11e-07,-0.8
"1059","BAIAP2L2",1.6e-05,4.13e-07,-0.607
"1060","CLEC2D",1.61e-05,4.15e-07,-0.767
"1061","",1.62e-05,4.18e-07,-1.09
"1062","",1.62e-05,4.19e-07,-0.966
"1063","",1.64e-05,4.22e-07,-0.94
"1064","CLEC5A",1.64e-05,4.22e-07,1.29
"1065","DDB1",1.65e-05,4.26e-07,-1.03
"1066","",1.65e-05,4.28e-07,-0.929
"1067","VAC14",1.67e-05,4.34e-07,-0.513
"1068","MDM4",1.67e-05,4.35e-07,-0.908
"1069","DZIP3",1.68e-05,4.37e-07,-0.531
"1070","NLRP8",1.69e-05,4.39e-07,-1
"1071","C8orf37",1.7e-05,4.43e-07,-0.658
"1072","ZNF669",1.7e-05,4.43e-07,-0.919
"1073","",1.71e-05,4.47e-07,-0.75
"1074","OAS1",1.72e-05,4.49e-07,1.19
"1075","MPZL1",1.72e-05,4.49e-07,-0.714
"1076","HYPK",1.72e-05,4.49e-07,-0.51
"1077","GNB5",1.73e-05,4.52e-07,-0.545
"1078","HELLS",1.74e-05,4.57e-07,0.542
"1079","GYPA",1.74e-05,4.57e-07,1.57
"1080","CCR6",1.76e-05,4.61e-07,-0.628
"1081","ZNF451",1.77e-05,4.64e-07,-0.812
"1082","NT5E",1.79e-05,4.7e-07,-0.603
"1083","STXBP2",1.79e-05,4.72e-07,0.694
"1084","BAGE3",1.8e-05,4.75e-07,-0.868
"1085","",1.83e-05,4.85e-07,-1.23
"1086","MCM8",1.85e-05,4.89e-07,-0.864
"1087","",1.85e-05,4.9e-07,-0.836
"1088","SNRPD3",1.87e-05,4.96e-07,-0.799
"1089","LCN2",1.87e-05,4.98e-07,1.39
"1090","PTCD2",1.88e-05,5e-07,-0.71
"1091","SORL1",1.89e-05,5.05e-07,-0.65
"1092","MAPK14",1.89e-05,5.05e-07,0.944
"1093","CCR1",1.89e-05,5.06e-07,0.88
"1094","",1.9e-05,5.1e-07,-0.725
"1095","FTH1P3",1.92e-05,5.15e-07,0.587
"1096","NFATC2IP",1.93e-05,5.18e-07,-0.752
"1097","SLC26A8",1.93e-05,5.19e-07,1.05
"1098","ADGRE3",1.94e-05,5.22e-07,-0.97
"1099","RAD51",1.94e-05,5.23e-07,-0.563
"1100","",1.94e-05,5.24e-07,-1.08
"1101","PSMD12",1.94e-05,5.25e-07,-0.513
"1102","FBXO32",1.95e-05,5.27e-07,-0.511
"1103","",1.95e-05,5.28e-07,-1.32
"1104","MIR181A2HG",1.95e-05,5.29e-07,-0.853
"1105","",1.96e-05,5.32e-07,-0.88
"1106","ANKHD1-EIF4EBP3",1.98e-05,5.39e-07,-0.554
"1107","AOC4P",1.98e-05,5.39e-07,-0.908
"1108","AURKA",1.98e-05,5.39e-07,0.77
"1109","JMY",1.98e-05,5.4e-07,-0.506
"1110","PKN2",1.99e-05,5.4e-07,-0.638
"1111","TMEM204",2e-05,5.44e-07,-0.603
"1112","MCMDC2",2.01e-05,5.47e-07,-0.875
"1113","",2.01e-05,5.47e-07,-0.769
"1114","NXNL1",2.03e-05,5.55e-07,-0.64
"1115","LONP2",2.03e-05,5.56e-07,-0.525
"1116","TRMT10B",2.05e-05,5.61e-07,-0.708
"1117","RAPGEF1",2.07e-05,5.67e-07,-0.824
"1118","SULT1A1",2.08e-05,5.69e-07,-0.71
"1119","",2.08e-05,5.7e-07,-0.835
"1120","ADM",2.08e-05,5.71e-07,0.995
"1121","ZC3H12B",2.1e-05,5.79e-07,-0.528
"1122","",2.11e-05,5.82e-07,-0.854
"1123","ANKRD9",2.11e-05,5.83e-07,1.18
"1124","SLC43A3",2.12e-05,5.87e-07,0.573
"1125","SPTLC1",2.12e-05,5.88e-07,-0.8
"1126","CHPT1",2.14e-05,5.94e-07,1.07
"1127","",2.15e-05,5.97e-07,-1.15
"1128","FOXP1",2.16e-05,6.01e-07,-0.977
"1129","PTCH1",2.17e-05,6.03e-07,-0.531
"1130","CHMP3",2.18e-05,6.06e-07,0.5
"1131","",2.18e-05,6.07e-07,-0.569
"1132","",2.19e-05,6.11e-07,-0.739
"1133","DIP2C",2.2e-05,6.13e-07,-0.716
"1134","HIST1H4K",2.2e-05,6.14e-07,0.732
"1135","",2.2e-05,6.14e-07,-1.32
"1136","",2.21e-05,6.18e-07,-0.664
"1137","ZWINT",2.22e-05,6.21e-07,0.705
"1138","BLK",2.23e-05,6.24e-07,-0.598
"1139","ABHD17B",2.26e-05,6.33e-07,-0.842
"1140","",2.26e-05,6.35e-07,-1.07
"1141","",2.28e-05,6.4e-07,-0.802
"1142","SLC35E1",2.29e-05,6.44e-07,-0.894
"1143","C8orf44",2.3e-05,6.49e-07,-0.866
"1144","TMEM267",2.3e-05,6.5e-07,-0.796
"1145","PPP1R3F",2.3e-05,6.5e-07,-0.545
"1146","LRRC37A4P",2.36e-05,6.66e-07,-0.833
"1147","PCDHB19P",2.36e-05,6.67e-07,-1
"1148","ATP8B2",2.37e-05,6.73e-07,-0.62
"1149","",2.39e-05,6.78e-07,-0.564
"1150","HEPACAM2",2.4e-05,6.8e-07,1.24
"1151","CREB1",2.4e-05,6.82e-07,-0.639
"1152","MSI2",2.42e-05,6.88e-07,0.506
"1153","PCTP",2.42e-05,6.89e-07,0.602
"1154","IFIT3",2.43e-05,6.92e-07,1.53
"1155","",2.44e-05,6.97e-07,-0.575
"1156","ZNF566",2.45e-05,6.99e-07,-0.582
"1157","ADGRE3",2.45e-05,7e-07,-0.908
"1158","SLC16A12",2.45e-05,7e-07,-0.558
"1159","PDE4B",2.46e-05,7.03e-07,-0.804
"1160","LY96",2.48e-05,7.09e-07,0.797
"1161","SYNRG",2.49e-05,7.15e-07,-0.637
"1162","L2HGDH",2.53e-05,7.26e-07,-0.503
"1163","BCAS4",2.53e-05,7.27e-07,-0.554
"1164","",2.55e-05,7.33e-07,-0.799
"1165","PIWIL4",2.55e-05,7.34e-07,0.74
"1166","ZNF609",2.55e-05,7.34e-07,-0.614
"1167","ZNF486",2.57e-05,7.4e-07,-0.779
"1168","INIP",2.57e-05,7.43e-07,-0.635
"1169","POLQ",2.57e-05,7.44e-07,0.9
"1170","HM13",2.57e-05,7.46e-07,-0.967
"1171","IL10",2.57e-05,7.47e-07,-0.823
"1172","",2.58e-05,7.48e-07,-1.13
"1173","PRPF6",2.58e-05,7.5e-07,-0.713
"1174","",2.59e-05,7.52e-07,-0.509
"1175","AHR",2.6e-05,7.59e-07,-0.7
"1176","",2.63e-05,7.67e-07,0.951
"1177","TP53I3",2.64e-05,7.72e-07,0.852
"1178","DBP",2.66e-05,7.8e-07,-0.596
"1179","DTWD2",2.67e-05,7.82e-07,-0.888
"1180","",2.69e-05,7.88e-07,-0.884
"1181","",2.71e-05,7.95e-07,-1.06
"1182","E2F2",2.72e-05,7.98e-07,1.06
"1183","RTP4",2.74e-05,8.06e-07,0.932
"1184","NSUN3",2.76e-05,8.14e-07,0.785
"1185","",2.77e-05,8.16e-07,-0.514
"1186","SUGP2",2.77e-05,8.17e-07,-1.09
"1187","FAR2",2.77e-05,8.19e-07,0.687
"1188","",2.77e-05,8.19e-07,-0.981
"1189","SGO2",2.77e-05,8.2e-07,0.593
"1190","GADD45A",2.8e-05,8.31e-07,0.655
"1191","HECTD2",2.82e-05,8.37e-07,-0.737
"1192","",2.84e-05,8.43e-07,-0.781
"1193","BRD3",2.85e-05,8.46e-07,-0.625
"1194","",2.85e-05,8.49e-07,0.613
"1195","N4BP2",2.85e-05,8.49e-07,-0.873
"1196","UBE2L6",2.87e-05,8.57e-07,0.595
"1197","SGK223",2.89e-05,8.62e-07,-0.573
"1198","NELFB",2.89e-05,8.62e-07,-0.629
"1199","LY9",2.89e-05,8.65e-07,-0.536
"1200","",2.9e-05,8.67e-07,-0.719
"1201","TOP1MT",2.9e-05,8.67e-07,-0.647
"1202","CCDC50",2.9e-05,8.7e-07,-0.528
"1203","PSMD6-AS2",2.9e-05,8.71e-07,-0.926
"1204","ERP44",2.91e-05,8.73e-07,-0.733
"1205","PNP",2.92e-05,8.78e-07,0.613
"1206","SHKBP1",2.93e-05,8.81e-07,0.51
"1207","",2.94e-05,8.85e-07,-0.923
"1208","DIS3L",2.97e-05,8.96e-07,-0.529
"1209","CCL3",2.97e-05,8.96e-07,0.674
"1210","PNPT1",2.97e-05,8.96e-07,-0.598
"1211","",2.97e-05,8.99e-07,-0.579
"1212","",3.04e-05,9.21e-07,-0.75
"1213","SYAP1",3.04e-05,9.23e-07,-0.768
"1214","",3.05e-05,9.25e-07,-0.691
"1215","PDK1",3.05e-05,9.27e-07,-0.569
"1216","DTNBP1",3.07e-05,9.32e-07,-0.664
"1217","CDC25C",3.1e-05,9.45e-07,0.88
"1218","MCM3AP-AS1",3.11e-05,9.5e-07,-0.699
"1219","",3.12e-05,9.56e-07,-1.01
"1220","PDLIM7",3.12e-05,9.56e-07,0.821
"1221","",3.13e-05,9.58e-07,-0.714
"1222","IFI44L",3.13e-05,9.6e-07,1.81
"1223","MS4A1",3.14e-05,9.62e-07,-0.991
"1224","LAG3",3.14e-05,9.63e-07,1.1
"1225","KIF11",3.14e-05,9.63e-07,0.867
"1226","BUB1",3.14e-05,9.64e-07,0.966
"1227","FOXM1",3.15e-05,9.68e-07,0.707
"1228","CDKN2AIPNL",3.15e-05,9.69e-07,-0.666
"1229","",3.16e-05,9.73e-07,-0.983
"1230","",3.16e-05,9.75e-07,-0.564
"1231","",3.19e-05,9.84e-07,-0.837
"1232","CR2",3.21e-05,9.91e-07,-0.563
"1233","",3.22e-05,9.97e-07,-0.699
"1234","SLC26A8",3.3e-05,1.02e-06,0.769
"1235","MRPL57",3.31e-05,1.03e-06,-0.611
"1236","SYTL2",3.32e-05,1.03e-06,-0.598
"1237","",3.33e-05,1.03e-06,-0.67
"1238","TAGAP",3.34e-05,1.04e-06,-0.851
"1239","BANK1",3.35e-05,1.04e-06,-0.557
"1240","CENPM",3.38e-05,1.05e-06,0.832
"1241","TOP1MT",3.38e-05,1.05e-06,-0.659
"1242","",3.4e-05,1.06e-06,-0.866
"1243","HN1L",3.41e-05,1.06e-06,-0.63
"1244","",3.42e-05,1.07e-06,-0.534
"1245","GABPB2",3.43e-05,1.07e-06,-0.547
"1246","ZNF549",3.43e-05,1.07e-06,-0.531
"1247","IFIT1B",3.44e-05,1.07e-06,1.83
"1248","",3.46e-05,1.08e-06,-1.06
"1249","CDCA8",3.47e-05,1.09e-06,0.784
"1250","SIAH2",3.49e-05,1.1e-06,0.905
"1251","POLR1B",3.49e-05,1.1e-06,-0.661
"1252","",3.5e-05,1.1e-06,-1.15
"1253","",3.52e-05,1.11e-06,-0.935
"1254","",3.55e-05,1.12e-06,-1.03
"1255","PDCL3P4",3.55e-05,1.12e-06,-0.783
"1256","",3.57e-05,1.13e-06,-0.975
"1257","",3.6e-05,1.14e-06,-0.552
"1258","ZNF345",3.6e-05,1.14e-06,-0.574
"1259","DDIAS",3.61e-05,1.14e-06,0.522
"1260","CD79A",3.64e-05,1.15e-06,-0.513
"1261","GOLGA8B",3.64e-05,1.15e-06,-0.546
"1262","AIM2",3.64e-05,1.16e-06,1.19
"1263","",3.64e-05,1.16e-06,-0.737
"1264","GATS",3.68e-05,1.17e-06,-0.507
"1265","CEACAM1",3.69e-05,1.17e-06,0.96
"1266","",3.73e-05,1.19e-06,-1.16
"1267","",3.73e-05,1.19e-06,-0.604
"1268","AKR1D1",3.76e-05,1.2e-06,-0.527
"1269","TMEM128",3.78e-05,1.2e-06,0.718
"1270","CD36",3.84e-05,1.22e-06,0.599
"1271","DCLRE1C",3.89e-05,1.25e-06,-0.748
"1272","CCND1",3.95e-05,1.27e-06,-0.603
"1273","PATZ1",3.99e-05,1.28e-06,-0.525
"1274","LRCH4",4e-05,1.28e-06,-0.528
"1275","RAB24",4e-05,1.28e-06,0.502
"1276","",4.03e-05,1.29e-06,-0.66
"1277","EHMT1",4.03e-05,1.3e-06,-0.602
"1278","C1orf132",4.03e-05,1.3e-06,-0.592
"1279","SERPING1",4.06e-05,1.31e-06,1.52
"1280","YTHDC1",4.08e-05,1.32e-06,-0.772
"1281","",4.1e-05,1.32e-06,0.905
"1282","OSCAR",4.11e-05,1.33e-06,0.767
"1283","SPIN1",4.12e-05,1.33e-06,-0.639
"1284","GBA",4.22e-05,1.37e-06,0.548
"1285","RAP1GAP",4.24e-05,1.38e-06,2.79
"1286","PAK2",4.25e-05,1.38e-06,-1
"1287","",4.27e-05,1.39e-06,-0.911
"1288","",4.32e-05,1.41e-06,-0.604
"1289","RGL4",4.32e-05,1.41e-06,0.734
"1290","",4.36e-05,1.43e-06,-0.878
"1291","",4.37e-05,1.43e-06,-0.723
"1292","OR2AG1",4.38e-05,1.43e-06,-0.782
"1293","RPS15",4.42e-05,1.45e-06,0.571
"1294","SASH1",4.44e-05,1.46e-06,0.985
"1295","ZBTB43",4.44e-05,1.46e-06,-0.563
"1296","KMT2C",4.46e-05,1.47e-06,-0.523
"1297","RNASEH1",4.48e-05,1.48e-06,-0.55
"1298","NSD1",4.48e-05,1.48e-06,-0.727
"1299","PPP2R3A",4.49e-05,1.48e-06,-0.828
"1300","ZNF91",4.5e-05,1.49e-06,-0.658
"1301","",4.51e-05,1.49e-06,-0.867
"1302","",4.51e-05,1.49e-06,-0.511
"1303","TCAF1",4.53e-05,1.5e-06,-0.611
"1304","",4.62e-05,1.53e-06,-1.03
"1305","USP4",4.62e-05,1.53e-06,-0.761
"1306","BMP8B",4.63e-05,1.54e-06,-0.81
"1307","FOLR3",4.63e-05,1.54e-06,1.25
"1308","ABHD17B",4.63e-05,1.54e-06,-0.707
"1309","WDR33",4.63e-05,1.54e-06,-0.566
"1310","TRIM23",4.63e-05,1.54e-06,-0.55
"1311","TYROBP",4.64e-05,1.55e-06,0.522
"1312","VNN 1.00",4.65e-05,1.55e-06,1.2
"1313","LBH",4.66e-05,1.55e-06,-0.699
"1314","TSPO",4.66e-05,1.56e-06,0.519
"1315","SULT1B1",4.66e-05,1.56e-06,0.629
"1316","",4.66e-05,1.56e-06,-0.786
"1317","",4.68e-05,1.57e-06,-0.848
"1318","POU5F1",4.7e-05,1.58e-06,-0.538
"1319","",4.71e-05,1.58e-06,-0.837
"1320","IGF2BP3",4.74e-05,1.59e-06,0.532
"1321","",4.75e-05,1.6e-06,-0.773
"1322","FANCI",4.76e-05,1.6e-06,0.816
"1323","ATE1",4.8e-05,1.61e-06,-0.591
"1324","EXTL2",4.8e-05,1.62e-06,-0.647
"1325","CCBE1",4.85e-05,1.64e-06,-1
"1326","S100A11",4.86e-05,1.64e-06,0.612
"1327","GAS6",4.89e-05,1.65e-06,0.663
"1328","",4.9e-05,1.66e-06,-0.651
"1329","EBF1",4.91e-05,1.66e-06,-0.679
"1330","ICA1",4.92e-05,1.67e-06,0.69
"1331","SLC26A11",4.93e-05,1.67e-06,-0.588
"1332","RPL7L1",4.94e-05,1.68e-06,-0.577
"1333","IKZF2",4.99e-05,1.7e-06,-0.831
"1334","",4.99e-05,1.7e-06,0.613
"1335","ADNP",5.01e-05,1.71e-06,-1.04
"1336","BACE2",5.02e-05,1.71e-06,-0.823
"1337","EBLN2",5.03e-05,1.72e-06,-0.68
"1338","FKTN",5.06e-05,1.73e-06,-0.513
"1339","",5.08e-05,1.74e-06,-1.19
"1340","",5.09e-05,1.74e-06,-0.694
"1341","",5.09e-05,1.74e-06,-0.683
"1342","EDAR",5.13e-05,1.76e-06,-0.642
"1343","ZNF275",5.13e-05,1.76e-06,-0.577
"1344","METTL16",5.14e-05,1.76e-06,-0.543
"1345","SF1",5.14e-05,1.77e-06,-1.17
"1346","OLR1",5.14e-05,1.77e-06,1.74
"1347","GALNT14",5.15e-05,1.77e-06,0.523
"1348","CHAF1B",5.15e-05,1.77e-06,0.742
"1349","NUF2",5.2e-05,1.79e-06,0.711
"1350","E2F7",5.2e-05,1.79e-06,0.556
"1351","",5.21e-05,1.8e-06,-0.602
"1352","SKA1",5.22e-05,1.8e-06,0.623
"1353","",5.24e-05,1.81e-06,-0.541
"1354","",5.27e-05,1.82e-06,-0.554
"1355","TFAP2A",5.27e-05,1.83e-06,-0.707
"1356","PRTN3",5.3e-05,1.84e-06,1.83
"1357","DDX60",5.37e-05,1.86e-06,0.956
"1358","BMX",5.45e-05,1.89e-06,1.04
"1359","SLC7A5",5.57e-05,1.94e-06,1.05
"1360","IFI30",5.59e-05,1.95e-06,0.702
"1361","CD300C",5.6e-05,1.95e-06,0.778
"1362","RAP1A",5.6e-05,1.95e-06,-0.958
"1363","RPS24",5.6e-05,1.96e-06,0.502
"1364","DGKA",5.6e-05,1.96e-06,-0.871
"1365","AKAP13",5.61e-05,1.96e-06,-0.642
"1366","TMEM144",5.64e-05,1.97e-06,0.904
"1367","",5.64e-05,1.97e-06,-0.503
"1368","ETV3",5.64e-05,1.98e-06,-0.77
"1369","BLZF1",5.68e-05,1.99e-06,-0.818
"1370","",5.71e-05,2.01e-06,-0.704
"1371","SLC6A12",5.77e-05,2.03e-06,0.792
"1372","GPR89B",5.91e-05,2.08e-06,-0.832
"1373","",5.91e-05,2.08e-06,-0.686
"1374","ZNF438",5.91e-05,2.08e-06,0.642
"1375","PCDHB9",5.92e-05,2.09e-06,-1.01
"1376","IFIH1",5.93e-05,2.09e-06,0.809
"1377","",5.94e-05,2.09e-06,-0.531
"1378","CRIPAK",5.94e-05,2.1e-06,-0.617
"1379","CDC14A",5.95e-05,2.1e-06,-0.682
"1380","FAM46C",6e-05,2.12e-06,1.03
"1381","",6.05e-05,2.14e-06,-0.621
"1382","TNFSF13B",6.09e-05,2.16e-06,0.776
"1383","",6.16e-05,2.19e-06,0.854
"1384","GSDMB",6.17e-05,2.19e-06,-0.982
"1385","SMAGP",6.21e-05,2.21e-06,-0.592
"1386","ID3",6.27e-05,2.23e-06,-0.502
"1387","PRICKLE1",6.29e-05,2.24e-06,-0.636
"1388","",6.29e-05,2.24e-06,-0.817
"1389","MDN1",6.33e-05,2.26e-06,-0.585
"1390","RRM2",6.33e-05,2.26e-06,0.886
"1391","C10orf10",6.33e-05,2.26e-06,0.557
"1392","",6.45e-05,2.31e-06,-0.949
"1393","PMEPA1",6.46e-05,2.31e-06,-0.616
"1394","BPI",6.46e-05,2.32e-06,1.81
"1395","AGAP4",6.5e-05,2.33e-06,-0.559
"1396","FAR2",6.57e-05,2.36e-06,0.665
"1397","",6.58e-05,2.37e-06,-0.667
"1398","C17orf58",6.59e-05,2.37e-06,0.644
"1399","ADAM28",6.68e-05,2.41e-06,-0.706
"1400","",6.72e-05,2.43e-06,-0.918
"1401","HACD1",6.72e-05,2.43e-06,0.864
"1402","C17orf53",6.73e-05,2.44e-06,0.598
"1403","",6.75e-05,2.45e-06,-0.692
"1404","TTC14",6.83e-05,2.48e-06,-0.524
"1405","",6.84e-05,2.48e-06,-0.556
"1406","EPOR",6.85e-05,2.49e-06,0.545
"1407","HAUS2",6.85e-05,2.49e-06,-0.841
"1408","",6.93e-05,2.53e-06,-0.695
"1409","AHI1",6.93e-05,2.53e-06,-0.718
"1410","ZNF346",6.93e-05,2.53e-06,-0.704
"1411","CEP85L",6.99e-05,2.55e-06,-0.794
"1412","BST2",7.02e-05,2.57e-06,0.558
"1413","",7.05e-05,2.58e-06,-0.942
"1414","",7.09e-05,2.6e-06,-0.608
"1415","DHX58",7.09e-05,2.6e-06,0.8
"1416","AGPAT2",7.09e-05,2.6e-06,0.503
"1417","",7.09e-05,2.6e-06,-0.674
"1418","ERBIN",7.16e-05,2.63e-06,-0.552
"1419","MARCH6",7.18e-05,2.64e-06,-0.515
"1420","BCL11B",7.25e-05,2.67e-06,-0.501
"1421","SLC44A4",7.25e-05,2.68e-06,-0.569
"1422","SLC16A3",7.3e-05,2.7e-06,0.536
"1423","CDAN1",7.3e-05,2.7e-06,-0.594
"1424","TCF4",7.3e-05,2.71e-06,-0.653
"1425","DYNLT1",7.34e-05,2.73e-06,0.605
"1426","CRISPLD2",7.36e-05,2.73e-06,0.816
"1427","CSF2RA",7.42e-05,2.76e-06,-0.844
"1428","ZNF551",7.49e-05,2.79e-06,-0.575
"1429","MX1",7.64e-05,2.85e-06,0.932
"1430","FRYL",7.67e-05,2.86e-06,-0.551
"1431","",7.72e-05,2.88e-06,-0.617
"1432","BEND5",7.77e-05,2.9e-06,-0.542
"1433","GPR89B",7.81e-05,2.92e-06,-0.689
"1434","NFATC3",7.81e-05,2.92e-06,-0.533
"1435","AFF3",7.86e-05,2.94e-06,-0.525
"1436","ACTA2",7.9e-05,2.96e-06,0.773
"1437","",7.92e-05,2.97e-06,-1.11
"1438","FAM102A",7.93e-05,2.98e-06,-0.509
"1439","C22orf34",7.93e-05,2.98e-06,-1.24
"1440","CD96",7.97e-05,3e-06,-0.523
"1441","CTNNAL1",8.02e-05,3.02e-06,1.01
"1442","SAMD9",8.09e-05,3.05e-06,0.614
"1443","TDRD9",8.11e-05,3.06e-06,1.04
"1444","CSF2RA",8.17e-05,3.08e-06,-0.594
"1445","SLC2A14",8.18e-05,3.09e-06,0.826
"1446","LATS1",8.28e-05,3.13e-06,-0.513
"1447","RBBP6",8.28e-05,3.13e-06,-0.6
"1448","CAPN5",8.28e-05,3.13e-06,-0.572
"1449","SLA2",8.49e-05,3.22e-06,0.52
"1450","ARRDC5",8.53e-05,3.24e-06,-0.67
"1451","BAGE2",8.56e-05,3.25e-06,-0.833
"1452","RRAS",8.73e-05,3.32e-06,0.504
"1453","CCR9",8.81e-05,3.35e-06,-0.853
"1454","CEACAM1",8.81e-05,3.36e-06,1.01
"1455","TPST1",8.95e-05,3.42e-06,-0.602
"1456","CDK1",8.96e-05,3.42e-06,0.685
"1457","",9e-05,3.44e-06,-0.665
"1458","",9.14e-05,3.49e-06,-0.988
"1459","HBM",9.14e-05,3.5e-06,1.12
"1460","SF1",9.17e-05,3.51e-06,-0.995
"1461","STOM",9.22e-05,3.54e-06,1.01
"1462","CHPT1",9.22e-05,3.54e-06,1
"1463","FAM102A",9.26e-05,3.56e-06,-0.85
"1464","MARC1",9.28e-05,3.56e-06,0.872
"1465","PDE4C",9.29e-05,3.57e-06,-0.587
"1466","BRWD1",9.3e-05,3.58e-06,-0.777
"1467","UTRN",9.34e-05,3.6e-06,-0.578
"1468","RRP7BP",9.34e-05,3.6e-06,-0.67
"1469","",9.37e-05,3.61e-06,-0.563
"1470","IL15RA",9.46e-05,3.65e-06,0.691
"1471","SGO1",9.5e-05,3.67e-06,0.546
"1472","KMT2C",9.52e-05,3.68e-06,-0.785
"1473","SEC24B",9.68e-05,3.75e-06,-0.652
"1474","",9.7e-05,3.76e-06,-0.551
