"","Name","adj.P.Val","P.Value","logFC"
"1953","SERPINB10",0.00102,6.29e-05,0.905
"1954","",0.00102,6.31e-05,-0.612
"1955","CTSL",0.00102,6.33e-05,0.685
"1956","ABCA13",0.00102,6.34e-05,1.23
"1957","PGD",0.00103,6.36e-05,0.564
"1958","LINC01252",0.00103,6.38e-05,-0.558
"1959","DSC1",0.00103,6.39e-05,-0.85
"1960","",0.00103,6.39e-05,-0.905
"1961","",0.00103,6.4e-05,-0.588
"1962","",0.00103,6.42e-05,-0.584
"1963","CDCA7L",0.00103,6.42e-05,-0.522
"1964","",0.00104,6.49e-05,0.514
"1965","",0.00105,6.53e-05,-0.578
"1966","IKZF1",0.00105,6.56e-05,-0.697
"1967","CMBL",0.00105,6.59e-05,1.22
"1968","SERPINB2",0.00106,6.64e-05,0.693
"1969","HBS1L",0.00107,6.7e-05,-0.656
"1970","PDPK1",0.00107,6.71e-05,-0.625
"1971","RORA",0.00107,6.73e-05,-0.842
"1972","BEX3",0.00109,6.86e-05,-0.641
"1973","SIGIRR",0.00109,6.87e-05,-0.555
"1974","",0.0011,6.9e-05,-0.587
"1975","CLEC4E",0.0011,6.96e-05,0.692
"1976","ALDH2",0.00111,7e-05,0.525
"1977","TNIK",0.00111,7.02e-05,-0.621
"1978","KIF1B",0.00112,7.09e-05,0.519
"1979","ERMAP",0.00113,7.15e-05,0.639
"1980","TDRD9",0.00115,7.28e-05,0.796
"1981","OAS1",0.00116,7.35e-05,1.06
"1982","XAF1",0.00116,7.38e-05,0.853
"1983","",0.00116,7.41e-05,-0.789
"1984","",0.00117,7.47e-05,-0.549
"1985","",0.00118,7.51e-05,-0.513
"1986","CAMK4",0.00118,7.51e-05,-0.524
"1987","",0.00119,7.62e-05,0.699
"1988","",0.00121,7.74e-05,0.583
"1989","BNIP3L",0.00121,7.77e-05,0.936
"1990","ZNF654",0.00121,7.78e-05,-0.517
"1991","IKBIP",0.00125,8.02e-05,-0.559
"1992","",0.00125,8.05e-05,-0.678
"1993","",0.00126,8.12e-05,-0.597
"1994","LTBR",0.00127,8.18e-05,0.529
"1995","IVD",0.00128,8.25e-05,-0.532
"1996","",0.00129,8.34e-05,-0.861
"1997","MGST1",0.00129,8.36e-05,0.632
"1998","SLC22A16",0.0013,8.4e-05,0.717
"1999","GPRC5C",0.0013,8.41e-05,0.59
"2000","CTSE",0.0013,8.46e-05,0.709
"2001","HIST1H4E",0.00131,8.51e-05,0.796
"2002","KLHL34",0.00132,8.56e-05,-0.5
"2003","MBP",0.00132,8.62e-05,-0.604
"2004","RPL32",0.00133,8.69e-05,-0.514
"2005","",0.00134,8.72e-05,-0.549
"2006","NMT2",0.00134,8.74e-05,-0.589
"2007","",0.00135,8.81e-05,0.611
"2008","TYMP",0.00136,8.88e-05,0.766
"2009","LAMP3",0.00137,8.92e-05,0.809
"2010","CENPA",0.00137,8.99e-05,0.539
"2011","",0.00139,9.08e-05,-0.569
"2012","",0.0014,9.22e-05,-0.547
"2013","RPPH1",0.0014,9.23e-05,0.801
"2014","CD40",0.00141,9.29e-05,-0.615
"2015","AP1G1",0.00141,9.31e-05,-0.528
"2016","",0.00143,9.45e-05,0.806
"2017","FAM72D",0.00143,9.48e-05,0.591
"2018","PTPRC",0.00144,9.56e-05,-0.756
"2019","CTSL",0.00146,9.7e-05,0.661
"2020","ALAS2",0.00147,9.76e-05,0.742
"2021","",0.00147,9.77e-05,-0.531
"2022","PMEPA1",0.00147,9.79e-05,-0.503
"2023","",0.00148,9.83e-05,-0.526
"2024","",0.00148,9.84e-05,-0.8
"2025","",0.00149,9.91e-05,-0.79
"2026","DOCK9",0.00149,9.91e-05,-0.512
"2027","NFIL3",0.00149,9.92e-05,0.55
"2028","F11R",0.00149,9.93e-05,0.514
"2029","",0.00149,9.93e-05,-0.777
"2030","KMO",0.00149,9.98e-05,-0.509
"2031","KLRG1",0.00151,0.000101,-0.507
"2032","",0.00151,0.000101,-0.683
"2033","HLA-DRB3",0.00153,0.000102,-0.652
"2034","",0.00155,0.000104,-0.694
"2035","AIM2",0.00155,0.000105,0.571
"2036","SMOX",0.00156,0.000105,1.22
"2037","SEPT2",0.00156,0.000105,-0.577
"2038","",0.00157,0.000106,0.67
"2039","",0.00161,0.000109,-0.594
"2040","BNIP3L",0.00161,0.000109,0.829
"2041","USP18",0.00162,0.00011,0.804
"2042","MAFB",0.00163,0.00011,0.631
"2043","SUCNR1",0.00163,0.000111,0.609
"2044","MRFAP1L1",0.00163,0.000111,-0.649
"2045","",0.00165,0.000113,-0.583
"2046","COL8A2",0.00165,0.000113,0.51
"2047","SUMO4",0.00168,0.000115,-0.68
"2048","",0.00168,0.000115,-0.65
"2049","TACSTD2",0.00171,0.000117,1.08
"2050","",0.00171,0.000117,-0.571
"2051","SPHK1",0.00172,0.000118,0.526
"2052","IL18R1",0.00172,0.000118,0.647
"2053","",0.00172,0.000119,-0.91
"2054","LTF",0.00172,0.000119,1.51
"2055","",0.00173,0.000119,-0.627
"2056","",0.00175,0.000121,-0.691
"2057","ITGAM",0.00175,0.000121,0.507
"2058","",0.00175,0.000121,-0.597
"2059","MXI1",0.00177,0.000122,0.92
"2060","BAGE5",0.00178,0.000123,-0.689
"2061","",0.00181,0.000125,-0.705
"2062","RAB2B",0.00181,0.000126,0.788
"2063","",0.00185,0.000129,-0.695
"2064","STIL",0.00185,0.000129,0.54
"2065","IFT88",0.00187,0.000131,-0.516
"2066","FAM198B",0.0019,0.000133,0.627
"2067","SUMO1",0.0019,0.000133,0.515
"2068","CYFIP1",0.0019,0.000133,0.514
"2069","LILRB2",0.0019,0.000133,0.528
"2070","CLEC4C",0.00193,0.000136,-0.654
"2071","",0.00194,0.000136,-0.638
"2072","MPP1",0.00194,0.000136,0.84
"2073","IFIT1",0.00195,0.000137,1.06
"2074","RBM4",0.00196,0.000138,-0.576
"2075","TAF1",0.00196,0.000138,-0.531
"2076","",0.00196,0.000138,-0.745
"2077","NOL10",0.00197,0.000139,-0.561
"2078","MERTK",0.00198,0.00014,0.788
"2079","",0.00198,0.00014,-0.576
"2080","",0.00199,0.000141,-0.716
"2081","DIP2A",0.00202,0.000143,-0.641
"2082","",0.00204,0.000145,-0.693
"2083","TMEM19",0.00209,0.000149,-0.523
"2084","C1QC",0.00209,0.000149,0.714
"2085","",0.0021,0.00015,-0.772
"2086","CTLA4",0.00213,0.000152,0.674
"2087","SUMF2",0.00213,0.000152,-0.679
"2088","UCP3",0.00213,0.000152,-0.506
"2089","PHACTR1",0.00217,0.000156,-0.53
"2090","IKBIP",0.00218,0.000157,-0.509
"2091","CACNA1E",0.00219,0.000157,0.819
"2092","POM121",0.00223,0.000161,-0.504
"2093","",0.00223,0.000161,0.809
"2094","SMPDL3A",0.00225,0.000162,0.739
"2095","",0.00225,0.000163,-0.622
"2096","LAPTM4B",0.00232,0.000168,0.501
"2097","HPCAL4",0.00234,0.00017,-0.538
"2098","SIRPA",0.00241,0.000176,0.574
"2099","NFAT5",0.00242,0.000176,-0.651
"2100","PRKAR1B",0.00248,0.000182,-0.57
"2101","",0.00249,0.000182,-0.891
"2102","DCTN6",0.00249,0.000183,0.515
"2103","NFE2",0.0025,0.000183,0.518
"2104","",0.00253,0.000186,-0.732
"2105","",0.00254,0.000187,-0.633
"2106","SPTA1",0.00255,0.000188,0.731
"2107","",0.00258,0.000191,-0.644
"2108","C1QTNF6",0.0026,0.000192,-0.527
"2109","COL4A3BP",0.00261,0.000193,-0.763
"2110","",0.00262,0.000194,-0.502
"2111","PYGL",0.00264,0.000196,0.629
"2112","VDR",0.00266,0.000198,0.569
"2113","FCRL5",0.00268,0.000199,-0.539
"2114","BCL2A1",0.00269,2e-04,0.657
"2115","",0.00272,0.000204,-0.622
"2116","CCNDBP1",0.00273,0.000205,0.684
"2117","",0.00274,0.000206,-0.997
"2118","",0.00278,0.000208,-0.603
"2119","",0.00279,0.00021,0.544
"2120","C16orf74",0.0028,0.000211,-0.501
"2121","",0.0028,0.000211,0.747
"2122","B3GNT5",0.00282,0.000213,0.632
"2123","SMOX",0.00283,0.000213,1.18
"2124","YOD1",0.00283,0.000214,0.81
"2125","MS4A3",0.00285,0.000216,0.872
"2126","ENTPD4",0.00288,0.000218,-0.515
"2127","DSC1",0.00289,0.000219,-0.809
"2128","TREML3P",0.0029,0.00022,0.806
"2129","JAK1",0.0029,0.00022,-0.596
"2130","HIST2H2BE",0.0029,0.00022,0.544
"2131","VAMP1",0.0029,0.00022,-0.527
"2132","",0.00291,0.000221,-1.1
"2133","",0.00296,0.000225,-0.709
"2134","",0.00302,0.000231,-0.611
"2135","",0.00306,0.000234,-0.565
"2136","PPFIA1",0.0031,0.000238,-0.537
"2137","ACKR1",0.0031,0.000238,1.14
"2138","NDRG3",0.0031,0.000239,-0.584
"2139","",0.00311,0.000239,-0.528
"2140","SORD",0.00311,0.000239,0.526
"2141","GNL3L",0.00311,0.000239,-0.629
"2142","TAF1",0.00314,0.000243,-0.525
"2143","TPM2",0.00315,0.000243,-0.578
"2144","TMEM140",0.00319,0.000247,0.509
"2145","",0.00321,0.000248,0.637
"2146","",0.00321,0.000249,-0.504
"2147","C2orf88",0.00323,0.000251,0.563
"2148","ZADH2",0.00324,0.000252,-0.659
"2149","SLC1A5",0.00329,0.000256,0.616
"2150","SPTBN1",0.00332,0.000259,-0.515
"2151","SLC5A3",0.00336,0.000263,-0.562
"2152","",0.00337,0.000264,-1.03
"2153","GPR141",0.00346,0.000272,0.587
"2154","TSPYL2",0.00346,0.000273,-0.569
"2155","",0.00346,0.000273,0.565
"2156","SERINC5",0.00346,0.000273,-0.519
"2157","CSAD",0.00347,0.000273,-0.501
"2158","FAM101B",0.00347,0.000273,-0.603
"2159","",0.00348,0.000274,0.515
"2160","ARHGEF12",0.00349,0.000275,0.868
"2161","OPA3",0.0035,0.000276,-0.585
"2162","",0.0035,0.000277,-0.759
"2163","TRAV20",0.0035,0.000277,-0.583
"2164","F5",0.00354,0.00028,0.666
"2165","ORM2",0.00359,0.000285,0.931
"2166","",0.00361,0.000287,-0.623
"2167","",0.00365,0.000291,-0.623
"2168","FAM65C",0.00367,0.000293,0.878
"2169","SNCA",0.00371,0.000297,0.895
"2170","GBP1",0.00372,0.000298,0.816
"2171","",0.00373,0.000299,-0.507
"2172","CTNNB1",0.00374,3e-04,-0.518
"2173","PAPSS2",0.00375,0.000302,-0.525
"2174","PI4K2B",0.00376,0.000302,0.629
"2175","ADAM17",0.00376,0.000303,-0.647
"2176","HES6",0.00377,0.000303,0.613
"2177","ARHGAP26",0.00378,0.000304,-0.566
"2178","SLFN5",0.00378,0.000305,-0.674
"2179","",0.0038,0.000306,-0.735
"2180","",0.00389,0.000315,0.601
"2181","ETV7",0.00392,0.000318,0.624
"2182","NAIP",0.00394,0.00032,0.837
"2183","MX2",0.00406,0.000331,0.623
"2184","PARM1",0.00408,0.000333,-0.7
"2185","RSC1A1",0.00408,0.000334,0.511
"2186","CYP1B1",0.00415,0.00034,0.789
"2187","CLIP3",0.00417,0.000342,-0.622
"2188","",0.00423,0.000349,-0.67
"2189","",0.00425,0.00035,-0.544
"2190","GNB4",0.00428,0.000353,-0.563
"2191","TSTA3",0.00439,0.000364,0.743
"2192","RMDN1",0.00439,0.000365,-0.578
"2193","CATSPER1",0.00441,0.000366,0.52
"2194","FECH",0.0045,0.000375,1.04
"2195","MAOA",0.00451,0.000376,0.802
"2196","DIAPH3",0.00452,0.000378,0.506
"2197","TMOD1",0.00456,0.000381,1.09
"2198","TRIM10",0.00457,0.000382,0.981
"2199","CASP8",0.0046,0.000385,-0.656
"2200","",0.00463,0.000387,0.531
"2201","HIST1H4H",0.00464,0.000389,0.818
"2202","ACSL1",0.00468,0.000393,0.592
"2203","DCAF6",0.00471,0.000396,-0.606
"2204","OAS2",0.00474,0.000399,0.775
"2205","",0.0048,0.000405,-0.592
"2206","LOC606724",0.00481,0.000407,-0.61
"2207","BACE2",0.00484,0.000409,-0.593
"2208","CCR3",0.00484,0.00041,-0.813
"2209","RPL7L1",0.00486,0.000412,-0.504
"2210","LRRN1",0.00505,0.000432,0.516
"2211","MCM4",0.00506,0.000433,0.586
"2212","TOX2",0.00514,0.000443,-0.55
"2213","GHRL",0.00516,0.000445,-0.519
"2214","CSTA",0.00516,0.000445,0.522
"2215","BIRC3",0.00517,0.000446,-0.833
"2216","",0.00521,0.00045,0.778
"2217","FECH",0.00529,0.000458,1.09
"2218","UBE2D2",0.00534,0.000464,-0.519
"2219","SON",0.00536,0.000466,-0.574
"2220","LOC101930164",0.00537,0.000467,0.798
"2221","ARL4A",0.00538,0.000468,0.819
"2222","HMBS",0.0054,0.000471,0.53
"2223","",0.0055,0.00048,-0.802
"2224","STAT1",0.00552,0.000483,0.501
"2225","FADS1",0.00557,0.000487,0.52
"2226","WHAMM",0.00557,0.000487,-0.512
"2227","HIST1H2AM",0.00567,0.000499,0.619
"2228","GBP1",0.00567,5e-04,0.747
"2229","HLA-DPB1",0.00574,0.000507,-0.596
"2230","DPRXP4",0.00576,0.00051,-0.637
"2231","RHCE",0.00577,0.000511,1.04
"2232","MTFR2",0.00583,0.000518,0.501
"2233","DYRK3",0.0059,0.000525,0.634
"2234","NDN",0.00596,0.000532,0.758
"2235","NDUFAF3",0.00604,0.00054,0.752
"2236","",0.00611,0.000548,-0.617
"2237","NAIP",0.00613,0.000551,0.756
"2238","SELPLG",0.00626,0.000564,-0.646
"2239","",0.00634,0.000572,0.544
"2240","COG5",0.00636,0.000574,-0.514
"2241","NCAPG2",0.00638,0.000577,0.625
"2242","",0.00638,0.000577,-0.662
"2243","KRT72",0.00647,0.000588,-0.642
"2244","",0.00648,0.000589,0.684
"2245","",0.00657,0.000598,-0.546
"2246","EGR1",0.00657,0.000598,0.522
"2247","",0.00661,0.000603,-0.673
"2248","VPS41",0.00663,0.000605,-0.65
"2249","MISP3",0.00666,0.000609,0.674
"2250","NUFIP2",0.00673,0.000617,-0.594
"2251","HELB",0.00676,0.000621,-0.62
"2252","LGALSL",0.0068,0.000626,0.678
"2253","",0.00682,0.000628,0.534
"2254","MRPL43",0.00682,0.000628,-0.661
"2255","SDF4",0.00684,0.00063,-0.532
"2256","SNCA",0.00686,0.000633,0.967
"2257","EPB41L3",0.00689,0.000636,0.562
"2258","COL17A1",0.00691,0.000638,0.794
"2259","NOD2",0.00692,0.00064,0.514
"2260","COL1A1",0.00696,0.000644,-0.612
"2261","",0.00699,0.000647,-0.529
"2262","CCL2",0.007,0.000648,1.05
"2263","TMEM86B",0.00703,0.000653,0.681
"2264","SSPN",0.0071,0.000661,-0.634
"2265","SMIM3",0.00713,0.000665,0.581
"2266","RPGRIP1",0.00718,0.000671,-0.549
"2267","SH3BP4",0.00718,0.000671,-0.521
"2268","ROBO3",0.00724,0.000678,-0.521
"2269","GCH1",0.00726,0.000681,0.617
"2270","OAS2",0.00731,0.000687,0.661
"2271","FYN",0.0074,0.000698,-0.532
"2272","HES4",0.00741,0.000699,0.685
"2273","ZBP1",0.00755,0.000715,0.607
"2274","DDX58",0.00764,0.000725,0.507
"2275","SOS 1",0.00768,0.00073,-0.655
"2276","COL3A1",0.00778,0.000742,-0.681
"2277","LIMK2",0.00778,0.000742,0.554
"2278","",0.00779,0.000743,-0.569
"2279","SLC11A1",0.00797,0.000764,0.516
"2280","TRPM4",0.00799,0.000767,0.602
"2281","C2orf88",0.00802,0.00077,0.597
"2282","CXCL10",0.00802,0.000771,1.31
"2283","CXCL8",0.00805,0.000774,-0.9
"2284","RNF10",0.00807,0.000777,0.669
"2285","",0.00808,0.000778,-0.518
"2286","TPGS2",0.00822,0.000794,0.739
"2287","TSPAN2",0.00824,0.000796,0.591
"2288","SNORD21",0.00825,0.000798,-0.506
"2289","",0.00834,0.000808,-0.576
"2290","SOCS3",0.00842,0.000817,0.714
"2291","CACNA2D3",0.00849,0.000825,-0.548
"2292","",0.00859,0.000836,-0.833
"2293","SMPDL3A",0.00875,0.000855,0.55
"2294","SLC22A15",0.00878,0.000859,0.536
"2295","LRRN3",0.00885,0.000867,-0.504
"2296","SVIL",0.00885,0.000868,-0.655
"2297","TSC22D3",0.00889,0.000872,-0.704
"2298","EIF2AK2",0.00891,0.000875,0.561
"2299","CITED4",0.00897,0.000881,0.518
"2300","",0.00904,0.000892,-0.524
"2301","OLFM4",0.00904,0.000892,1.01
"2302","GRN",0.00906,0.000895,0.549
"2303","MZB1",0.00925,0.000917,-0.53
"2304","ANGPT1",0.00929,0.000922,-0.545
"2305","AMMECR1",0.00948,0.000944,-0.621
"2306","WARS",0.00962,0.000961,0.53
"2307","NT5DC2",0.00979,0.00098,0.513
"2308","SETD9",0.00983,0.000984,0.646
"2309","PRUNE2",0.00987,0.000989,0.676
"2310","PLOD2",0.0099,0.000993,0.617
"2311","IFIT3",0.0101,0.00101,1.31
"2312","TSPAN2",0.0101,0.00102,0.63
"2313","DENND5B",0.0101,0.00102,-0.592
"2314","LILRA5",0.0102,0.00103,0.698
"2315","PPARG",0.0102,0.00103,0.529
"2316","HELZ2",0.0104,0.00105,0.526
"2317","PTGDR2",0.0104,0.00105,-0.764
"2318","CCNE1",0.0104,0.00105,0.505
"2319","",0.0104,0.00106,-0.66
"2320","OR2A1",0.0105,0.00107,-0.517
"2321","",0.0105,0.00107,-0.542
"2322","",0.0107,0.00109,-0.605
"2323","",0.0108,0.00111,0.669
"2324","KCTD14",0.0109,0.00112,0.662
"2325","DMTN",0.011,0.00113,0.775
"2326","",0.0111,0.00114,-0.597
"2327","CCL3L1",0.0112,0.00115,0.584
"2328","RBPMS2",0.0112,0.00115,-0.548
"2329","PDZK1IP1",0.0113,0.00116,-0.96
"2330","PTMS",0.0114,0.00118,0.527
"2331","DYRK3",0.0114,0.00118,0.503
"2332","C17orf75",0.0115,0.00119,-0.691
"2333","MTUS1",0.0115,0.0012,-0.56
"2334","KCNA3",0.0116,0.00121,-0.604
"2335","CCNA1",0.0116,0.00121,0.602
"2336","NXPE3",0.0117,0.00122,-0.583
"2337","HMGB2",0.0118,0.00122,0.516
"2338","",0.0121,0.00126,0.596
"2339","",0.0122,0.00128,-0.628
"2340","FAM104A",0.0123,0.00129,0.529
"2341","KRT1",0.0127,0.00134,1.17
"2342","PADI4",0.0128,0.00135,0.521
"2343","CD177",0.0128,0.00135,0.834
"2344","",0.0128,0.00136,-0.546
"2345","",0.0129,0.00137,-0.531
"2346","",0.0129,0.00137,0.517
"2347","SEPT6",0.013,0.00138,-0.502
"2348","HMOX1",0.0131,0.00139,0.526
"2349","IL6R",0.0133,0.00142,-0.585
"2350","GLUL",0.0133,0.00142,0.522
"2351","ALPL",0.0135,0.00144,0.765
"2352","USP12",0.0135,0.00145,0.524
"2353","SDHAP3",0.0136,0.00146,-0.565
"2354","HDC",0.0139,0.0015,-0.633
"2355","MARCH3",0.0139,0.0015,-0.61
"2356","MYOF",0.0145,0.00157,0.57
"2357","SF1",0.0147,0.0016,-0.503
"2358","TFF3",0.0149,0.00163,1.01
"2359","NFIA",0.0154,0.00169,-0.536
"2360","",0.0155,0.00171,-0.509
"2361","",0.0159,0.00176,-0.548
"2362","HMBS",0.0159,0.00176,0.84
"2363","ZKSCAN1",0.0163,0.00182,-0.622
"2364","C5AR1",0.0163,0.00182,0.507
"2365","WDR11",0.0166,0.00187,-1.02
"2366","",0.0166,0.00187,-0.601
"2367","TNFRSF21",0.0167,0.00187,-0.503
"2368","PNMA3",0.0167,0.00188,-0.615
"2369","EMP1",0.0169,0.0019,0.513
"2370","IFNG",0.0174,0.00197,0.641
"2371","DDX17",0.018,0.00205,-0.642
"2372","KCNJ2",0.0185,0.00212,0.503
"2373","",0.0193,0.00224,0.568
"2374","CRISP2",0.0195,0.00226,0.545
"2375","SRXN1",0.0195,0.00226,0.505
"2376","NEXN",0.0197,0.00228,0.5
"2377","ATP2B4",0.0198,0.00231,-0.603
"2378","",0.0199,0.00231,-0.681
"2379","",0.0199,0.00232,-0.587
"2380","THBS1",0.0199,0.00232,-0.609
"2381","ZDHHC19",0.0203,0.00239,1.05
"2382","KMT2C",0.0204,0.00239,-0.511
"2383","",0.0207,0.00244,-0.518
"2384","",0.0208,0.00245,-0.54
"2385","HBQ1",0.0208,0.00245,0.724
"2386","",0.0208,0.00246,-0.762
"2387","FKBP8",0.0209,0.00246,0.614
"2388","OAS2",0.021,0.00248,0.516
"2389","DEFB1",0.0211,0.0025,0.54
"2390","",0.0211,0.0025,-0.731
"2391","PTGDR",0.0212,0.00252,-0.564
"2392","",0.0213,0.00254,-0.644
"2393","RNF19A",0.0215,0.00257,-0.542
"2394","ANK1",0.0217,0.00259,0.666
"2395","KAT2B",0.0219,0.00262,0.552
"2396","",0.022,0.00263,-0.536
"2397","STAT1",0.0223,0.00268,0.563
"2398","COL1A2",0.0225,0.0027,-0.705
"2399","C9orf72",0.023,0.00278,0.521
"2400","TSPO2",0.023,0.00279,0.52
"2401","USF1",0.0234,0.00283,-0.535
"2402","SMIM24",0.0236,0.00286,0.69
"2403","TMEM176B",0.0237,0.00289,0.813
"2404","IRX3",0.024,0.00294,-0.527
"2405","RHD",0.0243,0.00297,1.02
"2406","RMND5A",0.0243,0.00298,0.501
"2407","SERPINA1",0.0252,0.00311,0.704
"2408","DCN",0.0253,0.00313,-0.581
"2409","PID1",0.0257,0.00319,-0.576
"2410","MYBPC3",0.0259,0.00322,0.55
"2411","LAMP3",0.026,0.00323,0.957
"2412","IKZF3",0.026,0.00324,-0.591
"2413","",0.0262,0.00327,-0.568
"2414","VPREB1",0.0272,0.00342,-0.583
"2415","CEACAM3",0.0274,0.00344,0.521
"2416","ARL4A",0.0276,0.00349,0.545
"2417","PAGE2",0.0286,0.00364,0.56
"2418","",0.0286,0.00365,0.717
"2419","TMEM63B",0.0286,0.00365,0.632
"2420","MYL9",0.0286,0.00365,0.69
"2421","",0.029,0.00371,-0.523
"2422","CRISP3",0.0291,0.00372,0.623
"2423","TMEM158",0.0293,0.00376,0.661
"2424","RASSF5",0.0299,0.00385,-0.541
"2425","",0.0305,0.00395,-0.567
"2426","CAV1",0.031,0.00402,0.563
"2427","",0.0317,0.00414,-0.502
"2428","LILRA5",0.0326,0.00429,0.66
"2429","GLRX5",0.0328,0.00432,0.51
"2430","ATRX",0.0338,0.00448,-0.564
"2431","YPEL4",0.034,0.00451,0.544
"2432","LRG1",0.0341,0.00454,0.522
"2433","MCM4",0.0345,0.0046,0.5
"2434","APOBEC3B",0.0348,0.00465,0.652
"2435","IFIT2",0.0349,0.00467,0.674
"2436","",0.035,0.00468,-0.626
"2437","CA2",0.0355,0.00475,0.52
"2438","ALAS2",0.0357,0.00479,0.906
"2439","PTGDR",0.0364,0.00491,-0.52
"2440","COCH",0.0366,0.00495,-0.535
"2441","GPR146",0.0367,0.00497,0.686
"2442","GYPE",0.037,0.00502,0.652
"2443","CXCR4",0.0385,0.00527,-0.582
"2444","CABP5",0.0387,0.0053,-0.611
"2445","",0.0388,0.00532,-0.536
"2446","RORA",0.0415,0.00578,-0.538
"2447","SLC6A8",0.0418,0.00583,0.731
"2448","NR2C2",0.0419,0.00585,-0.51
"2449","",0.0421,0.00589,0.523
"2450","LSP1",0.0424,0.00595,-0.503
"2451","CCL8",0.0432,0.00609,0.913
"2452","",0.0435,0.00614,0.748
"2453","",0.0457,0.00652,0.576
"2454","PROK2",0.0466,0.00667,0.584
"2455","DISC1",0.0467,0.00669,-0.603
"2456","DNAAF1",0.0474,0.00682,0.578
"2457","",0.0493,0.00716,-0.529
